# Device ID to Name mapping
# Format: device_id | vendor | model | full_name
# Generated from: /Users/macbook/src/tollgate-os/external_profiles/23.05.5/ramips/mt7621/profiles.json
# Generated on: Sun Apr 20 17:51:07 CEST 2025

adslr_g7 | ADSLR | G7 | ADSLR G7
tplink_eap235-wall-v1 | TP-Link | EAP235-Wall | TP-Link EAP235-Wall (v1)
tplink_eap613-v1 | TP-Link | EAP613 | TP-Link EAP613 (v1)
tplink_eap615-wall-v1 | TP-Link | EAP615-Wall | TP-Link EAP615-Wall (v1)
tplink_ec330-g5u-v1 | TP-Link | EC330-G5u | TP-Link EC330-G5u (v1)
tplink_er605-v2 | TP-Link | ER605 | TP-Link ER605 (v2)
tplink_ex220-v1 | TP-Link | EX220 | TP-Link EX220 (v1)
tplink_mr600-v2-eu | TP-Link | MR600 | TP-Link MR600 (v2 (EU))
tplink_re350-v1 | TP-Link | RE350 | TP-Link RE350 (v1)
tplink_re500-v1 | TP-Link | RE500 | TP-Link RE500 (v1)
tplink_re650-v1 | TP-Link | RE650 | TP-Link RE650 (v1)
tplink_re650-v2 | TP-Link | RE650 | TP-Link RE650 (v2)
tplink_tl-wpa8631p-v3 | TP-Link | TL-WPA8631P | TP-Link TL-WPA8631P (v3)
ubnt_edgerouter-x | Ubiquiti | EdgeRouter X | Ubiquiti EdgeRouter X
ubnt_edgerouter-x-sfp | Ubiquiti | EdgeRouter X SFP | Ubiquiti EdgeRouter X SFP
ubnt_unifi-6-lite | Ubiquiti | UniFi U6 Lite | Ubiquiti UniFi U6 Lite
ubnt_unifi-flexhd | Ubiquiti | UniFi FlexHD | Ubiquiti UniFi FlexHD
ubnt_unifi-nanohd | Ubiquiti | UniFi nanoHD | Ubiquiti UniFi nanoHD
ubnt_usw-flex | Ubiquiti | UniFi Switch Flex | Ubiquiti UniFi Switch Flex
unielec_u7621-01-16m | UniElec | U7621-01 | UniElec U7621-01 (16M)
unielec_u7621-06-16m | UniElec | U7621-06 | UniElec U7621-06 (16M)
unielec_u7621-06-32m | UniElec | U7621-06 | UniElec U7621-06 (32M)
unielec_u7621-06-64m | UniElec | U7621-06 | UniElec U7621-06 (64M)
wavlink_wl-wn531a6 | Wavlink | WL-WN531A6 | Wavlink WL-WN531A6
wavlink_wl-wn533a8 | Wavlink | WL-WN533A8 | Wavlink WL-WN533A8
wavlink_ws-wn572hp3-4g | Wavlink | WS-WN572HP3 | Wavlink WS-WN572HP3 (4G)
wevo_11acnas | WeVO | 11AC NAS Router | WeVO 11AC NAS Router
wevo_w2914ns-v2 | WeVO | W2914NS | WeVO W2914NS (v2)
wifire_s1500-nbn | WiFire | S1500.NBN | WiFire S1500.NBN
winstars_ws-wn583a6 | Winstars | WS-WN583A6 | Winstars WS-WN583A6
xiaomi_mi-router-3-pro | Xiaomi | Mi Router 3 Pro | Xiaomi Mi Router 3 Pro
xiaomi_mi-router-3g | Xiaomi | Mi Router 3G | Xiaomi Mi Router 3G
xiaomi_mi-router-3g-v2 | Xiaomi | Mi Router 3G | Xiaomi Mi Router 3G (v2)
xiaomi_mi-router-4 | Xiaomi | Mi Router 4 | Xiaomi Mi Router 4
xiaomi_mi-router-4a-gigabit | Xiaomi | Mi Router 4A | Xiaomi Mi Router 4A (Gigabit Edition)
xiaomi_mi-router-4a-gigabit-v2 | Xiaomi | Mi Router 4A | Xiaomi Mi Router 4A (Gigabit Edition v2)
xiaomi_mi-router-ac2100 | Xiaomi | Mi Router AC2100 | Xiaomi Mi Router AC2100
xiaomi_mi-router-cr6606 | Xiaomi | Mi Router CR6606 | Xiaomi Mi Router CR6606
xiaomi_mi-router-cr6608 | Xiaomi | Mi Router CR6608 | Xiaomi Mi Router CR6608
xiaomi_mi-router-cr6609 | Xiaomi | Mi Router CR6609 | Xiaomi Mi Router CR6609
xiaomi_redmi-router-ac2100 | Xiaomi | Redmi Router AC2100 | Xiaomi Redmi Router AC2100
xiaoyu_xy-c5 | XiaoYu | XY-C5 | XiaoYu XY-C5
xzwifi_creativebox-v1 | CreativeBox | v1 | CreativeBox v1
youhua_wr1200js | YouHua | WR1200JS | YouHua WR1200JS
youku_yk-l2 | Youku | YK-L2 | Youku YK-L2
yuncore_ax820 | YunCore | AX820 | YunCore AX820
yuncore_fap640 | YunCore | FAP640 | YunCore FAP640
yuncore_fap690 | YunCore | FAP690 | YunCore FAP690
yuncore_g720 | YunCore | G720 | YunCore G720
z-router_zr-2660 | Z-ROUTER | ZR-2660 | Z-ROUTER ZR-2660
zbtlink_zbt-we1326 | Zbtlink | ZBT-WE1326 | Zbtlink ZBT-WE1326
zbtlink_zbt-we3526 | Zbtlink | ZBT-WE3526 | Zbtlink ZBT-WE3526
zbtlink_zbt-wg1602-16m | Zbtlink | ZBT-WG1602 | Zbtlink ZBT-WG1602 (16M)
zbtlink_zbt-wg1602-v04-16m | Zbtlink | ZBT-WG1602-V04 | Zbtlink ZBT-WG1602-V04 (16M)
zbtlink_zbt-wg1602-v04-32m | Zbtlink | ZBT-WG1602-V04 | Zbtlink ZBT-WG1602-V04 (32M)
zbtlink_zbt-wg1608-16m | Zbtlink | ZBT-WG1608 | Zbtlink ZBT-WG1608 (16M)
zbtlink_zbt-wg1608-32m | Zbtlink | ZBT-WG1608 | Zbtlink ZBT-WG1608 (32M)
zbtlink_zbt-wg2626 | Zbtlink | ZBT-WG2626 | Zbtlink ZBT-WG2626
zbtlink_zbt-wg3526-16m | Zbtlink | ZBT-WG3526 | Zbtlink ZBT-WG3526 (16M)
zbtlink_zbt-wg3526-32m | Zbtlink | ZBT-WG3526 | Zbtlink ZBT-WG3526 (32M)
zio_freezio | ZIO | FREEZIO | ZIO FREEZIO
zyxel_lte3301-plus | ZyXEL | LTE3301-PLUS | ZyXEL LTE3301-PLUS
zyxel_nr7101 | ZyXEL | NR7101 | ZyXEL NR7101
zyxel_nwa50ax | ZyXEL | NWA50AX | ZyXEL NWA50AX
zyxel_nwa55axe | ZyXEL | NWA55AXE | ZyXEL NWA55AXE
zyxel_wap6805 | ZyXEL | WAP6805 | ZyXEL WAP6805
zyxel_wsm20 | ZyXEL | WSM20 | ZyXEL WSM20
