# Device ID to Name mapping
# Format: device_id | vendor | model | full_name
# Generated from: /Users/macbook/src/tollgate-os/external_profiles/23.05.5/ath79/generic/profiles.json
# Generated on: Sun Apr 20 17:22:51 CEST 2025

8dev_carambola2 | 8devices | Carambola2 | 8devices Carambola2
openmesh_mr1750-v1 | OpenMesh | MR1750 | OpenMesh MR1750 (v1)
openmesh_mr1750-v2 | OpenMesh | MR1750 | OpenMesh MR1750 (v2)
openmesh_mr600-v1 | OpenMesh | MR600 | OpenMesh MR600 (v1)
openmesh_mr600-v2 | OpenMesh | MR600 | OpenMesh MR600 (v2)
openmesh_mr900-v1 | OpenMesh | MR900 | OpenMesh MR900 (v1)
openmesh_mr900-v2 | OpenMesh | MR900 | OpenMesh MR900 (v2)
openmesh_om2p-hs-v1 | OpenMesh | OM2P-HS | OpenMesh OM2P-HS (v1)
openmesh_om2p-hs-v2 | OpenMesh | OM2P-HS | OpenMesh OM2P-HS (v2)
openmesh_om2p-hs-v3 | OpenMesh | OM2P-HS | OpenMesh OM2P-HS (v3)
openmesh_om2p-hs-v4 | OpenMesh | OM2P-HS | OpenMesh OM2P-HS (v4)
openmesh_om2p-lc | OpenMesh | OM2P-LC | OpenMesh OM2P-LC
openmesh_om2p-v1 | OpenMesh | OM2P | OpenMesh OM2P (v1)
openmesh_om2p-v2 | OpenMesh | OM2P | OpenMesh OM2P (v2)
openmesh_om2p-v4 | OpenMesh | OM2P | OpenMesh OM2P (v4)
openmesh_om5p | OpenMesh | OM5P | OpenMesh OM5P
openmesh_om5p-ac-v1 | OpenMesh | OM5P-AC | OpenMesh OM5P-AC (v1)
openmesh_om5p-ac-v2 | OpenMesh | OM5P-AC | OpenMesh OM5P-AC (v2)
openmesh_om5p-an | OpenMesh | OM5P-AN | OpenMesh OM5P-AN
pcs_cap324 | PowerCloud Systems | CAP324 | PowerCloud Systems CAP324
pcs_cr3000 | PowerCloud Systems | CR3000 | PowerCloud Systems CR3000
pcs_cr5000 | PowerCloud Systems | CR5000 | PowerCloud Systems CR5000
phicomm_k2t | Phicomm | K2T | Phicomm K2T
pisen_ts-d084 | PISEN | TS-D084 | PISEN TS-D084
pisen_wmb001n | PISEN | WMB001N | PISEN WMB001N
pisen_wmm003n | PISEN | Cloud Easy Power (WMM003N) | PISEN Cloud Easy Power (WMM003N)
plasmacloud_pa300 | Plasma Cloud | PA300 | Plasma Cloud PA300
plasmacloud_pa300e | Plasma Cloud | PA300E | Plasma Cloud PA300E
qca_ap143-16m | Qualcomm Atheros | AP143 | Qualcomm Atheros AP143 ((16M))
qca_ap143-8m | Qualcomm Atheros | AP143 | Qualcomm Atheros AP143 ((8M))
qihoo_c301 | Qihoo | C301 | Qihoo C301
qxwlan_e1700ac-v2-16m | Qxwlan | E1700AC | Qxwlan E1700AC (v2 (16M))
qxwlan_e1700ac-v2-8m | Qxwlan | E1700AC | Qxwlan E1700AC (v2 (8M))
qxwlan_e558-v2-16m | Qxwlan | E558 | Qxwlan E558 (v2 (16M))
qxwlan_e558-v2-8m | Qxwlan | E558 | Qxwlan E558 (v2 (8M))
