# OpenWrt Device Search Helper
# Version: 23.05.5
# Generated: Sun Apr 20 17:23:19 CEST 2025
# Format: device_id | platform/target | vendor | model

8dev_habanero-dvk | ipq40xx/generic | 8devices | Habanero DVK
adtran_bsap1840 | ath79/generic | Adtran/Bluesocket | BSAP-1840
airtight_c-75 | ath79/generic | AirTight Networks | C-75
alcatel_hh40v | ath79/generic | Alcatel | HH40V
alfa-network_ap121f | ath79/generic | ALFA Network | AP121F
alfa-network_ap121fe | ath79/generic | ALFA Network | AP121FE
alfa-network_n2q | ath79/generic | ALFA Network | N2Q
alfa-network_n5q | ath79/generic | ALFA Network | N5Q
alfa-network_pi-wifi4 | ath79/generic | ALFA Network | Pi-WiFi4
alfa-network_r36a | ath79/generic | ALFA Network | R36A
alfa-network_tube-2hq | ath79/generic | ALFA Network | Tube-2HQ
allnet_all-wap02860ac | ath79/generic | ALLNET | ALL-WAP02860AC
araknis_an-300-ap-i-n | ath79/generic | Araknis | AN-300-AP-I-N
araknis_an-500-ap-i-ac | ath79/generic | Araknis | AN-500-AP-I-AC
araknis_an-700-ap-i-ac | ath79/generic | Araknis | AN-700-AP-I-AC
arduino_yun | ath79/generic | Arduino | Yun
aruba_ap-105 | ath79/generic | Aruba | AP-105
aruba_ap-115 | ath79/generic | Aruba | AP-115
aruba_ap-175 | ath79/generic | Aruba | AP-175
asus_pl-ac56 | ath79/generic | ASUS | PL-AC56
asus_rp-ac51 | ath79/generic | ASUS | RP-AC51
asus_rp-ac66 | ath79/generic | ASUS | RP-AC66
atheros_db120 | ath79/generic | Atheros | DB120
avm_fritz1750e | ath79/generic | AVM | FRITZ!WLAN Repeater 1750E
avm_fritz300e | ath79/generic | AVM | FRITZ!WLAN Repeater 300E
avm_fritz4020 | ath79/generic | AVM | FRITZ!Box 4020
avm_fritz450e | ath79/generic | AVM | FRITZ!WLAN Repeater 450E
avm_fritzdvbc | ath79/generic | AVM | FRITZ!WLAN Repeater DVB-C
belkin_f9j1108-v2 | ath79/generic | Belkin | F9J1108 v2 (AC1750 DB Wi-Fi)
belkin_f9k1115-v2 | ath79/generic | Belkin | F9K1115 v2 (AC1750 DB Wi-Fi)
buffalo_bhr-4grv | ath79/generic | Buffalo | BHR-4GRV
buffalo_bhr-4grv2 | ath79/generic | Buffalo | BHR-4GRV2
buffalo_wzr-600dhp | ath79/generic | Buffalo | WZR-600DHP
buffalo_wzr-hp-ag300h | ath79/generic | Buffalo | WZR-HP-AG300H
buffalo_wzr-hp-g300nh-rb | ath79/generic | Buffalo | WZR-HP-G300NH (RTL8366RB switch)
buffalo_wzr-hp-g300nh-s | ath79/generic | Buffalo | WZR-HP-G300NH (RTL8366S switch)
buffalo_wzr-hp-g302h-a1a0 | ath79/generic | Buffalo | WZR-HP-G302H
buffalo_wzr-hp-g450h | ath79/generic | Buffalo | WZR-HP-G450H/WZR-450HP
comfast_cf-e110n-v2 | ath79/generic | COMFAST | CF-E110N
comfast_cf-e120a-v3 | ath79/generic | COMFAST | CF-E120A
comfast_cf-e130n-v2 | ath79/generic | COMFAST | CF-E130N
comfast_cf-e313ac | ath79/generic | COMFAST | CF-E313AC
comfast_cf-e314n-v2 | ath79/generic | COMFAST | CF-E314N
comfast_cf-e375ac | ath79/generic | COMFAST | CF-E375AC
comfast_cf-e5 | ath79/generic | COMFAST | CF-E5/E7
comfast_cf-e560ac | ath79/generic | COMFAST | CF-E560AC
comfast_cf-ew72 | ath79/generic | COMFAST | CF-EW72
comfast_cf-wr650ac-v1 | ath79/generic | COMFAST | CF-WR650AC
comfast_cf-wr650ac-v2 | ath79/generic | COMFAST | CF-WR650AC
comfast_cf-wr752ac-v1 | ath79/generic | COMFAST | CF-WR752AC
compex_wpj344-16m | ath79/generic | Compex | WPJ344
compex_wpj531-16m | ath79/generic | Compex | WPJ531
compex_wpj558-16m | ath79/generic | Compex | WPJ558
compex_wpj563 | ath79/generic | Compex | WPJ563
devolo_dlan-pro-1200plus-ac | ath79/generic | devolo | dLAN pro 1200+ WiFi ac
devolo_dvl1200e | ath79/generic | devolo | WiFi pro 1200e
devolo_dvl1200i | ath79/generic | devolo | WiFi pro 1200i
devolo_dvl1750c | ath79/generic | devolo | WiFi pro 1750c
devolo_dvl1750e | ath79/generic | devolo | WiFi pro 1750e
devolo_dvl1750i | ath79/generic | devolo | WiFi pro 1750i
devolo_dvl1750x | ath79/generic | devolo | WiFi pro 1750x
devolo_magic-2-wifi | ath79/generic | devolo | Magic 2 WiFi
dlink_dap-1330-a1 | ath79/generic | D-Link | DAP-1330
dlink_dap-1365-a1 | ath79/generic | D-Link | DAP-1365
dlink_dap-2230-a1 | ath79/generic | D-Link | DAP-2230
dlink_dap-2660-a1 | ath79/generic | D-Link | DAP-2660
dlink_dap-2680-a1 | ath79/generic | D-Link | DAP-2680
dlink_dap-2695-a1 | ath79/generic | D-Link | DAP-2695
dlink_dap-3320-a1 | ath79/generic | D-Link | DAP-3320
dlink_dap-3662-a1 | ath79/generic | D-Link | DAP-3662
dlink_dch-g020-a1 | ath79/generic | D-Link | DCH-G020
dlink_dir-505 | ath79/generic | D-Link | DIR-505
dlink_dir-629-a1 | ath79/generic | D-Link | DIR-629
dlink_dir-825-b1 | ath79/generic | D-Link | DIR-825
dlink_dir-825-c1 | ath79/generic | D-Link | DIR-825
dlink_dir-835-a1 | ath79/generic | D-Link | DIR-835
dlink_dir-842-c1 | ath79/generic | D-Link | DIR-842
dlink_dir-842-c2 | ath79/generic | D-Link | DIR-842
dlink_dir-842-c3 | ath79/generic | D-Link | DIR-842
dlink_dir-859-a1 | ath79/generic | D-Link | DIR-859
dlink_dir-859-a3 | ath79/generic | D-Link | DIR-859
dlink_dir-869-a1 | ath79/generic | D-Link | DIR-869
elecom_wrc-1750ghbk2-i | ath79/generic | ELECOM | WRC-1750GHBK2-I/C
elecom_wrc-300ghbk2-i | ath79/generic | ELECOM | WRC-300GHBK2-I
embeddedwireless_balin | ath79/generic | Embedded Wireless | Balin
embeddedwireless_dorin | ath79/generic | Embedded Wireless | Dorin
engenius_eap1200h | ath79/generic | EnGenius | EAP1200H
engenius_eap1750h | ath79/generic | EnGenius | EAP1750H
engenius_eap300-v2 | ath79/generic | EnGenius | EAP300
engenius_eap600 | ath79/generic | EnGenius | EAP600
engenius_ecb1200 | ath79/generic | EnGenius | ECB1200
engenius_ecb1750 | ath79/generic | EnGenius | ECB1750
engenius_ecb600 | ath79/generic | EnGenius | ECB600
engenius_ens202ext-v1 | ath79/generic | EnGenius | ENS202EXT
engenius_enstationac-v1 | ath79/generic | EnGenius | EnStationAC
engenius_epg5000 | ath79/generic | EnGenius | EPG5000
engenius_esr1200 | ath79/generic | EnGenius | ESR1200
engenius_esr1750 | ath79/generic | EnGenius | ESR1750
engenius_esr900 | ath79/generic | EnGenius | ESR900
engenius_ews511ap | ath79/generic | EnGenius | EWS511AP
engenius_ews660ap | ath79/generic | EnGenius | EWS660AP
enterasys_ws-ap3705i | ath79/generic | Enterasys | WS-AP3705i
etactica_eg200 | ath79/generic | eTactica | EG200
extreme-networks_ws-ap3805i | ath79/generic | Extreme Networks | WS-AP3805i
fortinet_fap-221-b | ath79/generic | Fortinet | FAP-221-B
glinet_6408 | ath79/generic | GL.iNet | 6408
glinet_6416 | ath79/generic | GL.iNet | 6416
glinet_gl-ar150 | ath79/generic | GL.iNet | GL-AR150
glinet_gl-ar300m-lite | ath79/generic | GL.iNet | GL-AR300M
glinet_gl-ar300m16 | ath79/generic | GL.iNet | GL-AR300M16
glinet_gl-ar750 | ath79/generic | GL.iNet | GL-AR750
glinet_gl-mifi | ath79/generic | GL.iNET | GL-MiFi
glinet_gl-usb150 | ath79/generic | GL.iNET | GL-USB150
glinet_gl-x300b | ath79/generic | GL.iNet | GL-X300B
glinet_gl-x750 | ath79/generic | GL.iNet | GL-X750
hak5_lan-turtle | ath79/generic | Hak5 | LAN Turtle
hak5_packet-squirrel | ath79/generic | Hak5 | Packet Squirrel
hak5_wifi-pineapple-nano | ath79/generic | Hak5 | WiFi Pineapple NANO
hiwifi_hc6361 | ath79/generic | HiWiFi | HC6361
huawei_ap5030dn | ath79/generic | Huawei | AP5030DN
iodata_etg3-r | ath79/generic | I-O DATA | ETG3-R
iodata_wn-ac1167dgr | ath79/generic | I-O DATA | WN-AC1167DGR
iodata_wn-ac1600dgr | ath79/generic | I-O DATA | WN-AC1600DGR
iodata_wn-ac1600dgr2 | ath79/generic | I-O DATA | WN-AC1600DGR2/DGR3
iodata_wn-ag300dgr | ath79/generic | I-O DATA | WN-AG300DGR
jjplus_ja76pf2 | ath79/generic | jjPlus | JA76PF2
jjplus_jwap230 | ath79/generic | jjPlus | JWAP230
joyit_jt-or750i | ath79/generic | Joy-IT | JT-OR750i
kuwfi_c910 | ath79/generic | KuWFi | C910
letv_lba-047-ch | ath79/generic | Letv | LBA-047-CH
librerouter_librerouter-v1 | ath79/generic | Librerouter | LibreRouter
meraki_mr12 | ath79/generic | Meraki | MR12
meraki_mr16 | ath79/generic | Meraki | MR16
mercury_mw4530r-v1 | ath79/generic | Mercury | MW4530R
nec_wf1200cr | ath79/generic | NEC | Aterm WF1200CR
nec_wg1200cr | ath79/generic | NEC | Aterm WG1200CR
nec_wg800hp | ath79/generic | NEC | Aterm WG800HP
netgear_ex7300 | ath79/generic | NETGEAR | EX7300
